modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
LH4342UHS-B1;IIYAMA CORPORATION;116.0;SIGNAGE
B247Y;acer;18.0;MONITOR
ET1502;Elo ;11.0;MONITOR
FlexScan S1703-A;EIZO;10.5;MONITOR
55PUS7855/12;PHILIPS;94.0;TELEVISION
70PUS9005/12;PHILIPS;130.0;TELEVISION
70PUS7505/12;PHILIPS;115.0;TELEVISION
70PUS7555/12;PHILIPS;115.0;TELEVISION
UE55TU8300U;Samsung;102.0;TELEVISION
TQL15HD2ST002;Stan line;12.0;TELEVISION
KDL-32W6605;SONY;31.0;TELEVISION
KDL-32W6100;SONY;31.0;TELEVISION
L24HED18;Logik;19.0;TELEVISION
KDL-43WG663;SONY;46.0;TELEVISION
LT-32C485;JVC;31.0;TELEVISION
KE-75XH9296;SONY;152.0;TELEVISION
KE-55XH9096;SONY;97.0;TELEVISION
HP P22h G4 HSD-0043-K;HP, Inc.;14.0;MONITOR
HP P22 G4 HSD-0043-K;HP, Inc.;14.0;MONITOR
65 OLED GD961B TKJ000;GRUNDIG;147.0;TELEVISION
OCEA19CAR20B7;Oceanic;17.0;TELEVISION
XUB2390HS-B1 C;IIYAMA CORPORATION;16.3;MONITOR
XU2395WSU-B1;IIYAMA CORPORATION;17.4;MONITOR
XU2595WSU-B1;IIYAMA CORPORATION;20.5;MONITOR
XUB2595WSU-B1;IIYAMA CORPORATION;20.5;MONITOR
VS17529;ViewSonic;16.0;MONITOR
VS17351;ViewSonic;16.5;MONITOR
24MK400H;LG Electronics;20.8;MONITOR
27BN550Y;LG Electronics;21.4;MONITOR
27BN650Y;LG Electronics;25.8;MONITOR
34WN650;LG Electronics;34.7;MONITOR
35BN77C;LG Electronics;38.9;MONITOR
B24-9W;FUJITSU;17.3;MONITOR
38WN95C;LG Electronics;42.6;MONITOR
24BL650C;LG Electronics;17.6;MONITOR
32UL500;LG Electronics;37.6;MONITOR
27MP89HM;LG Electronics;23.3;MONITOR
32UK550;LG Electronics;37.6;MONITOR
24GL600F;LG Electronics;21.4;MONITOR
