modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
55US662H9ZC;LG Electronics;102.0;TELEVISION
LT043-f1-zzz;Sky;54.0;TELEVISION
PAR 4900 (SN49FIL27-0216);SUNNY;63.0;TELEVISION
CB273U;acer;23.0;MONITOR
MD 31058;MEDION;70.0;TELEVISION
MD 30643;MEDION;42.0;TELEVISION
DigiFrame 1019 WiFi weiss;BRAUN PhotoTechnik GmbH;3.9;OTHER
DigiFrame 10X WiFi;BRAUN Photo Technik GmbH;4.2;OTHER
24-FHD-4320;FINLUX ;21.0;TELEVISION
42-FFA-5230;FINLUX ;40.0;TELEVISION
WL24HD22B;WELLINGTON;22.0;TELEVISION
WL32HD22B;WELLINGTON;32.0;TELEVISION
INTV-24N33C;INFINITON;21.0;TELEVISION
42-FHA-2108;FINLUX ;40.0;TELEVISION
65-UHA-2108;FINLUX ;109.0;TELEVISION
HC250PFB(HSG1461);Hannspree;15.0;MONITOR
DS-D2055NH-B/G;HIKVISION;77.5;MONITOR
55ADS314BU;VOX Electronics;76.9;TELEVISION
LED-32AT204 SMART;Arielli;31.0;TELEVISION
972127_HI3218HD-EL;HIGH ONE;34.0;TELEVISION
CG437K S;acer;67.0;MONITOR
BA32H4072LEKB;BLAUPUNKT;31.0;TELEVISION
BA40F4172LEKB;BLAUPUNKT;45.0;TELEVISION
43A23B-UHD;TECHNIKA;65.0;TELEVISION
TXV-AU5880;Turbo-X;70.0;TELEVISION
TXV-S4065;Turbo-X;36.0;TELEVISION
DS-D5024FN-C;HIKVISION;17.4;MONITOR
VS18374(IFP7552-1A/1B);ViewSonic ;176.0;SIGNAGE
SN43DIL13/0216;SUNNY;50.0;TELEVISION
LED-32N218T2;Arielli;32.0;TELEVISION
39DSA316B;VOX Electronics;42.0;TELEVISION
M238GC3;GAME;19.1;OTHER
LDDW27i+;Reflexion;21.0;TELEVISION
32S6201X1;TCL;32.0;TELEVISION
T1732MSC-B5AG C;IIYAMA CORPORATION ;11.5;MONITOR
43BFL2214/12;PHILIPS;51.0;TELEVISION
HG50EJ690YB;Samsung;95.0;TELEVISION
HG55EJ690YB;Samsung;102.0;TELEVISION
HG65EJ690YB;Samsung;136.0;TELEVISION
BL-43US12EU;Dyras;51.0;TELEVISION
32HN10T2;SmartTech;26.0;TELEVISION
32HL10V1;SmartTech;26.0;TELEVISION
40FL10V1;SmartTech;36.0;TELEVISION
24HA10T3;SmartTech;18.0;TELEVISION
55UA10V3;SmartTech;63.0;TELEVISION
65UA10V3;SmartTech;101.0;TELEVISION
Z40c G3 (HSD-0107-W);HP, Inc.;40.0;MONITOR
WPS4222FHD;Walker;40.0;TELEVISION
HC250PFB(HSG1461);Hannspree;15.0;MONITOR
S27AG524NU;Samsung;27.0;MONITOR
32SL900H;PROCASTER;32.0;TELEVISION
55SL900H;PROCASTER;82.0;TELEVISION
ORS24502AND;ORIMA;22.0;TELEVISION
ITMC27V241FHD;Itek;26.0;MONITOR
QE65Q95TDT;Samsung;140.0;TELEVISION
39PHS6707/12;PHILIPS;42.0;TELEVISION
22LED SM350-DC B;Sehmax;22.0;TELEVISION
FLA5821UH;MORRIS;70.0;TELEVISION
We. SEE 32 60510*10;We. by Loewe;31.0;TELEVISION
55A6HG;Hisense;77.0;TELEVISION
55A6BGTUK;Hisense;77.0;TELEVISION
TVH24M606STWEB;GoGEN;22.0;TELEVISION
55VH7J;LG Electronics;157.4;SIGNAGE
YZ2490;YASHI;24.0;MONITOR
LIN 32D1700 SMART;LIN;32.0;TELEVISION
EX3410RE;BenQ;31.4;MONITOR
B270TRS;Avtex;25.0;TELEVISION
OCEALED39HD22B7;Oceanic;33.0;TELEVISION
32HA10T3;SmartTech;26.0;TELEVISION
SBA55UHD204;SABA;98.0;TELEVISION
UD55LGB212;GRANDIN;100.0;TELEVISION
T1932MSC-B5AG B;IIYAMA CORPORATION ;14.2;MONITOR
T1932MSC-W5AG B;IIYAMA CORPORATION ;14.2;MONITOR
55UR767H0ZC;LG Electronics Inc.;102.0;TELEVISION
22MP410;LG Electronics;18.7;MONITOR
TV1980;ANTARION;17.0;TELEVISION
TV2760;ANTARION;26.0;TELEVISION
TV4060;ANTARION;32.0;TELEVISION
T1931SAW-B6 B;IIYAMA CORPORATION ;15.9;MONITOR
T1931SAW-B6 C;IIYAMA CORPORATION ;14.5;MONITOR
42-FUF-7070;FINLUX;48.0;TELEVISION
42-FUF-7161;FINLUX;48.0;TELEVISION
SB19LED4402;SB;12.6;TELEVISION
VS18454(IFP4320);ViewSonic ;90.0;MONITOR
65 GGU 7950A DJB000;GRUNDIG;84.0;TELEVISION
ST32VD V1;Majestic;31.0;TELEVISION
A32HD0122BSMART;AYA;3.2;TELEVISION
75A6DG;Hisense;140.0;TELEVISION
75A6EGCH;Hisense;140.0;TELEVISION
75A6FGTUK;Hisense;140.0;TELEVISION
XUB2792HSN-B1 A;IIYAMA CORPORATION ;21.6;MONITOR
LC-M16-4K-UHD-P-OLED;LC-Power;12.0;MONITOR
HG43EJ690YA;Samsung;73.0;TELEVISION
HG55EJ690YA;Samsung;102.0;TELEVISION
"DigiFrame 1095 (10.1"") 8GB";BRAUN Photo Technik GmbH;8.0;OTHER
M238GC3;GAME;19.1;OTHER
LDDW27i+;Reflexion;21.0;TELEVISION
32S6201X1;TCL;32.0;TELEVISION
T1732MSC-B5AG C;IIYAMA CORPORATION ;11.5;MONITOR
SL-22 SBAI+ONE;alphatronics GmbH;20.0;TELEVISION
TVD 224/S2 LED V2;Majestic;20.0;TELEVISION
T1532MSC-B5X B;IIYAMA CORPORATION ;10.2;MONITOR
43 GGU 7902B DGL000;GRUNDIG;51.0;TELEVISION
T1732MSC-B5X B;IIYAMA CORPORATION ;11.9;MONITOR
65 GGU8960 DCT000;GRUNDIG;111.0;TELEVISION
55 GGU 7900B DGE000;GRUNDIG;64.0;TELEVISION
65 GGU 7900A DGK000;GRUNDIG;84.0;TELEVISION
43 GGU 7904B DGV000;GRUNDIG;51.0;TELEVISION
55 GGU 7910B DHR000;GRUNDIG;64.0;TELEVISION
T1732MSC-B5AG B;IIYAMA CORPORATION ;11.9;MONITOR
T1732MSC-W5AG B;IIYAMA CORPORATION ;11.9;MONITOR
972817_ED42C00UHD-VE;EDENWOOD;4.8;TELEVISION
32HL110;Salora;32.0;TELEVISION
43 GGU 7910B DHT000;GRUNDIG;51.0;TELEVISION
QB65R-B;Samsung;128.0;SIGNAGE
QM50R-B;Samsung;129.0;SIGNAGE
4T-C42CJ2KF2FB;SHARP;63.0;TELEVISION
1T-C32BC2EH2NW;SHARP;31.0;TELEVISION
4T-C42CL2IF2AB;SHARP;63.0;TELEVISION
2T-C42CI6EE2AB;SHARP;48.0;TELEVISION
4T-C42CL1KF2AB;SHARP;63.0;TELEVISION
2T-C42CG6KG2FB;SHARP;48.0;TELEVISION
24 GHB 5240 DCW000;GRUNDIG;20.0;TELEVISION
55 GGU 8960 DCS000;GRUNDIG;87.0;TELEVISION
43 CUA 7250 Rom DDU000;GRUNDIG;51.0;TELEVISION
65 CUA 7250 Rom DDY000;GRUNDIG;84.0;TELEVISION
YZ2727;YASHI;36.0;MONITOR
XD32H4ESAT;XD;26.0;TELEVISION
XD40F4ESAT;XD;36.0;TELEVISION
XD43F4ESAT;XD;42.0;TELEVISION
HP278WJB(HSG1464);Hannspree;14.0;MONITOR
DigiFrame 1019 WiFi;BRAUN Photo Technik GmbH;3.9;OTHER
PCC-24165VA-CV;PCCOM;21.0;MONITOR
LE-32Z2;DOCS;31.0;TELEVISION
50A65H;Hisense;70.0;TELEVISION
XUB2792HSC-B1 A;IIYAMA CORPORATION ;21.6;MONITOR
T1531SAW-B5 B;IIYAMA CORPORATION ;11.0;MONITOR
EX3210U;BenQ;34.0;MONITOR
T1931SR-B5 B;IIYAMA CORPORATION ;14.2;MONITOR
T1931SR-W5 B ;IIYAMA CORPORATION ;14.2;MONITOR
T1931SR-B6 B;IIYAMA CORPORATION ;15.4;MONITOR
LED32THD22B;TECHNICAL;32.0;TELEVISION
LEDA42UHD22B;TECHNICAL;48.0;TELEVISION
PR55F-4F;VESTEL;138.0;SIGNAGE
LT-50CF810(A);JVC;65.0;TELEVISION
DigiFrame 8 Slim;BRAUN Photo Technik GmbH;3.0;OTHER
E-22 DSB;alphatronics GmbH;16.0;TELEVISION
C199TRS-F;Avtex;16.5;TELEVISION
LE-24Z1S;DOCS;22.0;TELEVISION
C1420DVB;cello ;8.0;TELEVISION
VS18981(VG2748a-2);ViewSonic;21.6;MONITOR
M32E3;GAME;32.5;OTHER
24F1D-DVD H1EU ;HKC;21.0;TELEVISION
RS42F2;RCA;43.0;TELEVISION
PD32M;AOC;82.0;OTHER
TQL39HDPR01;POLAROID;45.0;TELEVISION
PA328QV;ASUS;32.4;MONITOR
32HD220WOS;Linsar;28.3;TELEVISION
65QNED919QA;LG Electronics Inc.;101.0;TELEVISION
CEQLED43SA22B3;Continental Edison;54.0;TELEVISION
32J110AWS;CROWN ;38.0;TELEVISION
39FJ110;FUEGO;50.0;TELEVISION
Nokia Smart TV QNA43GV210;Nokia;54.0;TELEVISION
55E7HQ;Hisense;82.0;TELEVISION
55E79HQ;Hisense;82.0;TELEVISION
55E77HQTUK;Hisense;82.0;TELEVISION
0001/9213;TechniSat;8.0;MONITOR
A24GMF22;ADX;18.0;MONITOR
LED TV SONIC32 LS12;TELE System;30.0;TELEVISION
49 VLX 777 LDL DJW000;GRUNDIG;83.0;TELEVISION
50E625BUS;Tesla;54.0;TELEVISION
AX39DAL13/0216;AXEN;42.0;TELEVISION
T1932MSC-B5AG C;IIYAMA CORPORATION;16.5;MONITOR
ODL 50951UC-TAB;ok.;75.0;TELEVISION
50A63H;Hisense;70.0;TELEVISION
50A64H;Hisense;70.0;TELEVISION
50A66H;Hisense;70.0;TELEVISION
50A65HTUK;Hisense;70.0;TELEVISION
50A66HTUK;Hisense;70.0;TELEVISION
50A67HTUK;Hisense;70.0;TELEVISION
FLA4325H;F&U;42.0;TELEVISION
27BP450Y;LG Electronics;21.5;MONITOR
S27B610EQU;Samsung;23.0;MONITOR
M199DRS-PRO;Avtex;16.5;TELEVISION
BF42F2322IQKB;BLAUPUNKT;48.0;TELEVISION
4T-C75EQ4EM2AG;SHARP;168.0;TELEVISION
4T-C75EQ3KM2AG;SHARP;168.0;TELEVISION
TX-24LSW484;Panasonic;22.0;TELEVISION
A32HD0322B;AYA;32.0;TELEVISION
65E7HQ;Hisense;110.0;TELEVISION
65E79HQNE;Hisense;110.0;TELEVISION
4670A00L;SOLARI;127.0;SIGNAGE
973174_ED32A03HD-VE;EDENWOOD;32.0;TELEVISION
XR-77A83K;SONY;121.0;TELEVISION
XR-75Z9K;SONY;141.0;TELEVISION
TD43UHDLED22SW;TECHWOOD;54.0;TELEVISION
MD 22012;MEDION;20.0;MONITOR
MD 22010;MEDION;26.0;MONITOR
T16A;Shenzhen shuoran Electronic Technology Co.,Ltd.;10.0;MONITOR
55 GOB 9280 DKE000;GRUNDIG;101.0;TELEVISION
65A63HCH;Hisense;100.0;TELEVISION
65A66H;Hisense;100.0;TELEVISION
65A67H;Hisense;100.0;TELEVISION
65A68H;Hisense;100.0;TELEVISION
65A66HTUK;Hisense;100.0;TELEVISION
TCSAND40FHDPR04;POLAROID;45.0;TELEVISION
TCS43QLEDPR0003;POLAROID;66.0;TELEVISION
50E77HQ;Hisense;70.0;TELEVISION
50E78HQ;Hisense;70.0;TELEVISION
KD-43X89K;SONY;60.0;TELEVISION
50E79HQNE;Hisense;70.0;TELEVISION
KD-85X85K;SONY;168.0;TELEVISION
KD-85X89K;SONY;168.0;TELEVISION
ST50VD V1;Majestic;85.0;TELEVISION
24LED9109CTS2ANDROID;Salora;22.0;TELEVISION
EI491CUR;acer;42.0;MONITOR
MTL236A;iggual;13.0;MONITOR
55A69H;Hisense;77.0;TELEVISION
4T-C50EQx;SHARP;84.0;TELEVISION
4T-C55EQx;SHARP;102.0;TELEVISION
4T-C65EQx;SHARP;136.0;TELEVISION
43A64HCH;Hisense;49.0;TELEVISION
43A66H;Hisense;49.0;TELEVISION
VP229HV;ASUS;13.0;MONITOR
7B06/7B02;EVICIV;6.0;MONITOR
101B06/101B07/101B08;EVICIV;6.0;MONITOR
156B09/156B21/156B22/156B23;UPERFECT;6.0;MONITOR
A32HD0322BS;AYA;30.0;TELEVISION
156F17/156B01/140F01/156B09;UPERFECT;6.0;MONITOR
SH37R-B;Samsung;52.0;SIGNAGE
24GQ50F;LG Electronics;17.1;MONITOR
55MUC6120Z;METZ;102.0;TELEVISION
24MTD1000Z;METZ;21.0;TELEVISION
973301_HI3221HD-MM;HIGH ONE;32.0;TELEVISION
XB273U KF;acer;26.0;MONITOR
QT32X03;MY CENTURY;48.0;TELEVISION
CH40G6SNFHDT2C;CHANGHONG;47.0;TELEVISION
LDDW19i+;Reflexion;12.0;TELEVISION
LEDW190+;Reflexion;12.0;TELEVISION
CELED43UHD22B6;Continental Edison;50.0;TELEVISION
CELED43SAUHD22B6;Continental Edison;50.0;TELEVISION
CELED65UHDSA22B3;Continental Edison;109.0;TELEVISION
LED4260AFHD;Luxor;40.0;TELEVISION
4T-C70DN5EM2AB;SHARP;150.0;TELEVISION
SA40S77A11;SABA;47.0;TELEVISION
SA43K77A11;SABA;66.0;TELEVISION
Optix G274RW;MSI;21.0;MONITOR
eiq-49SUWD144FSHQ-V2;electriQ;50.0;MONITOR
24HFL3014P/12;PHILIPS;17.0;TELEVISION
UHD 5002 SMART;TREVI;79.1;TELEVISION
ND32N2500M SAT;Nordmende;32.0;TELEVISION
LE4340S-B3;IIYAMA CORPORATION;83.8;SIGNAGE
GQ75Q60BAU;Samsung;116.0;TELEVISION
 GW2480L;BenQ;14.9;MONITOR
OLED65B26LA;LG Electronics Inc.;105.0;TELEVISION
24-FAMF-9060;Finlux;22.0;TELEVISION
70NANO763QA;LG Electronics Inc.;124.0;TELEVISION
86NANO769QA;LG Electronics Inc.;166.0;TELEVISION
SA50K77A11;SABA;80.0;TELEVISION
ZX-5143-675;auvisio;6.4;MONITOR
LED 24.12 HTV;Silva Schneider;22.0;TELEVISION
DL-TV32HD-002;DUAL;32.0;TELEVISION
T2453MIS-B1;IIYAMA CORPORATION;14.2;MONITOR
40S6209X1;TCL;45.0;TELEVISION
LED24HS82A11;UNITED;21.0;TELEVISION
LE3240S-B3;IIYAMA CORPORATION;50.5;SIGNAGE
TX-43LX650E;Panasonic;51.0;TELEVISION
TX-43LX650EZ;Panasonic;51.0;TELEVISION
TX-50LX600E;Panasonic;71.0;TELEVISION
TX-50LX600EZ;Panasonic;71.0;TELEVISION
TX-50LX610E;Panasonic;71.0;TELEVISION
TX-55LX600BZ;Panasonic;82.0;TELEVISION
TX-55LX600EZ;Panasonic;82.0;TELEVISION
TX-55LX610E;Panasonic;82.0;TELEVISION
TX-55LX650B;Panasonic;64.0;TELEVISION
TX-55LX660E;Panasonic;64.0;TELEVISION
TX-65LX600B;Panasonic;109.0;TELEVISION
TX-65LX600BZ;Panasonic;109.0;TELEVISION
TX-65LX650BZ;Panasonic;85.0;TELEVISION
MT24DHS2;MIIA ;17.0;TELEVISION
DS-D6043UL-B/S;HIKVISION;54.1;SIGNAGE
LA65BL650;LUXOR;109.0;TELEVISION
OLED42C27LA;LG Electronics Inc.;51.9;TELEVISION
OLED42C29LB;LG Electronics Inc.;51.9;TELEVISION
43UQ75003LF;LG Electronics Inc.;54.0;TELEVISION
43UQ76903LE;LG Electronics Inc.;54.0;TELEVISION
QE65Q60BAU;Samsung;100.0;TELEVISION
OLED48C22LB;LG Electronics Inc.;65.9;TELEVISION
OLED55C22LB;LG Electronics Inc.;81.0;TELEVISION
OLED55C26LD;LG Electronics Inc.;81.0;TELEVISION
OLED55C29LD;LG Electronics Inc.;81.0;TELEVISION
55NANO826QB;LG Electronics Inc.;81.0;TELEVISION
55NANO829QB;LG Electronics Inc.;81.0;TELEVISION
XV272U Z;acer;26.0;MONITOR
55UQ80006LB;LG Electronics Inc.;81.0;TELEVISION
32LQ63806LC;LG Electronics Inc.;27.0;TELEVISION
32LQ570B6LA;LG Electronics Inc.;26.0;TELEVISION
55A85H;Hisense;84.0;TELEVISION
55A85HCH;Hisense;84.0;TELEVISION
55A88HNE;Hisense;84.0;TELEVISION
55A8DH;Hisense;84.0;TELEVISION
55A85HTUK;Hisense;84.0;TELEVISION
AG274QS;AOC;32.0;OTHER
65C935X1;TCL;130.0;TELEVISION
DHI-LM22-B200B;Dahua;19.0;MONITOR
55U77HQTUK;Hisense;84.0;TELEVISION
QT55GXF93;QBELL;83.0;TELEVISION
MT-980T2H;Denver;8.0;TELEVISION
PFF-1017BLACK;Denver;4.5;OTHER
PFF-1037B;Denver;4.5;OTHER
PFF-1513BLACK;Denver;6.4;OTHER
PFF-1513WHITE;Denver;6.4;OTHER
PFF-1514B;Denver;6.4;OTHER
VS18453(VX3218-PC-MHDJ);ViewSonic;26.0;MONITOR
C1242HE;ASUS;12.0;MONITOR
LDDX24I+;Reflexion;20.0;TELEVISION
65P735KX1;TCL;102.0;TELEVISION
65P735X1;TCL;88.0;TELEVISION
Nokia Smart TV HNA24GV210;Nokia;22.0;TELEVISION
Nokia Smart TV HNA32GV210;Nokia;32.0;TELEVISION
Nokia Smart TV FNR32GV210;Nokia;32.0;TELEVISION
LT-58VA3035;JVC;70.0;TELEVISION
50NANO763QA;LG Electronics Inc.;68.0;TELEVISION
50NANO786QA;LG Electronics Inc.;68.0;TELEVISION
50UQ80003LB;LG Electronics Inc.;64.9;TELEVISION
50UQ80009LB;LG Electronics Inc.;64.9;TELEVISION
65UQ80003LB;LG Electronics Inc.;99.9;TELEVISION
OLED77G23LA;LG Electronics Inc.;124.0;TELEVISION
NVR-7711-24RD2-B ;Nevir;20.2;TELEVISION
NVR-7710-32RD2-B ;Nevir;31.0;TELEVISION
NVR-8072-32HD2S-SMA-B ;Nevir;31.0;TELEVISION
24LHS122T;manta;21.0;TELEVISION
55QNED869QA;LG Electronics Inc.;83.9;TELEVISION
55QNED879QB;LG Electronics Inc.;83.9;TELEVISION
55U7HQTUK;Hisense;84.0;TELEVISION
VS18190(VX2718-PC-MHDJ);ViewSonic;21.0;MONITOR
UE55BU8505K;Samsung;93.0;TELEVISION
Q27q-20(F22270QQ0);Lenovo;23.0;MONITOR
65U7HQ;Hisense;111.0;TELEVISION
65U7HQCH;Hisense;111.0;TELEVISION
65U77HQ;Hisense;111.0;TELEVISION
65U79HQ;Hisense;111.0;TELEVISION
65U72HQTUK;Hisense;111.0;TELEVISION
TX-24LSW504S;Panasonic;21.0;TELEVISION
TX-32LSW504;Panasonic;27.0;TELEVISION
TX-32LSW504S;Panasonic;27.0;TELEVISION
TX-42LZ980B;Panasonic;52.0;TELEVISION
GU85BU8079U;Samsung;186.0;TELEVISION
UE85BU8002K;Samsung;186.0;TELEVISION
FlexScan EV2781;EIZO;17.0;MONITOR
UE43BU8000K;Samsung;72.0;TELEVISION
UE43BU8002K;Samsung;72.0;TELEVISION
UE43BU8072U;Samsung;72.0;TELEVISION
GU70BU8079U;Samsung;140.0;TELEVISION
UE70BU8072U;Samsung;140.0;TELEVISION
DHI-LS550UCM-EF;Dahua;175.0;SIGNAGE
BN32H1100BSDKB;BLAUPUNKT;31.0;TELEVISION
DH-DHL550UDM-EG;Dahua;160.0;SIGNAGE
65NANO786QA;LG Electronics Inc.;111.0;TELEVISION
55UQ75006LF;LG Electronics Inc.;81.0;TELEVISION
UE65BU8002K;Samsung;124.0;TELEVISION
UE65BU8072U;Samsung;124.0;TELEVISION
55UQ80009LB;LG Electronics Inc.;81.0;TELEVISION
OLED77C26LD;LG Electronics Inc.;119.0;TELEVISION
OLED65A23LA;LG Electronics Inc.;90.0;TELEVISION
OLED65A26LA;LG Electronics Inc.;90.0;TELEVISION
OLED65C21LA;LG Electronics Inc.;97.2;TELEVISION
WPS3222HDWH;WALKER;32.0;TELEVISION
VXD-27FHDS;Voxicon;21.0;MONITOR
OLED65C24LA;LG Electronics Inc.;97.2;TELEVISION
65UQ90009LA;LG Electronics Inc.;111.0;TELEVISION
65UQ91006LA;LG Electronics Inc.;111.0;TELEVISION
65UQ91009LA;LG Electronics Inc.;111.0;TELEVISION
75QNED966QA;LG Electronics Inc.;137.0;TELEVISION
75QNED969QA;LG Electronics Inc.;137.0;TELEVISION
75QNED826QB;LG Electronics Inc.;109.0;TELEVISION
TX-65LZC1506;Panasonic;103.0;TELEVISION
TX-65LZF1507;Panasonic;103.0;TELEVISION
TX-65LZT1506;Panasonic;103.0;TELEVISION
TX-75LX800E;Panasonic;141.0;TELEVISION
TX-75LXW834;Panasonic;141.0;TELEVISION
AKTV403J Smart vidaa;Akai;47.0;TELEVISION
LD2 32 ANDROID WHITE;ELECTRONIA;32.0;TELEVISION
55PUS7600/12;PHILIPS;117.0;TELEVISION
TX-43LX700E;Panasonic;53.0;TELEVISION
TX-43LX800B;Panasonic;54.0;TELEVISION
TX-43LX810E;Panasonic;54.0;TELEVISION
TX-43LXF887;Panasonic;54.0;TELEVISION
TX-43LXN888;Panasonic;54.0;TELEVISION
TX-48LZ1500E;Panasonic;66.0;TELEVISION
TX-48LZC1505;Panasonic;66.0;TELEVISION
TX-48LZC984;Panasonic;66.0;TELEVISION
TX-48LZW804;Panasonic;66.0;TELEVISION
TX-49LXW944;Panasonic;68.0;TELEVISION
TX-50LX800B;Panasonic;71.0;TELEVISION
TX-50LX800E;Panasonic;71.0;TELEVISION
TX-50LXF887;Panasonic;71.0;TELEVISION
TX-50LXN888;Panasonic;71.0;TELEVISION
TX-50LXT886;Panasonic;71.0;TELEVISION
TX-55LX810E;Panasonic;84.0;TELEVISION
TX-55LXF887;Panasonic;84.0;TELEVISION
TX-55LXN978;Panasonic;79.0;TELEVISION
TX-55LXW834;Panasonic;84.0;TELEVISION
TX-55LXX979;Panasonic;79.0;TELEVISION
TX-55LZC984;Panasonic;83.0;TELEVISION
TX-55LZF1507;Panasonic;83.0;TELEVISION
TX-55LZN1508;Panasonic;83.0;TELEVISION
TX-55LZW2004;Panasonic;84.0;TELEVISION
TX-55LZW804;Panasonic;83.0;TELEVISION
TX-65LX700E;Panasonic;91.0;TELEVISION
TX-65LXN888;Panasonic;112.0;TELEVISION
TX-65LXX889;Panasonic;112.0;TELEVISION
TX-65LZ1500E;Panasonic;103.0;TELEVISION
TX-65LZ800E;Panasonic;103.0;TELEVISION
HG32EJ690WU;Samsung;33.0;TELEVISION
HG43AU800EU;Samsung;72.0;TELEVISION
65NANO826QB;LG Electronics Inc.;94.9;TELEVISION
65NANO829QB;LG Electronics Inc.;94.9;TELEVISION
ST6502S;BenQ;155.0;SIGNAGE
G27F 2;GIGABYTE;21.0;MONITOR
G24F 2;GIGABYTE;18.0;MONITOR
E28u-20(H22280UE0);Lenovo;26.1;MONITOR
D20-30(H22195HL0);Lenovo;11.0;MONITOR
QM43B;Samsung;80.0;SIGNAGE
QM55B;Samsung;108.0;SIGNAGE
QH43B;Samsung;93.0;SIGNAGE
QH50B;Samsung;106.0;SIGNAGE
55RP630KX1;TCL;55.0;TELEVISION
50RP630KX1;TCL;55.0;TELEVISION
MD 31406;MEDION;51.0;TELEVISION
MD 31407;MEDION;65.0;TELEVISION
MD 31408;MEDION;77.0;TELEVISION
Y25-30(G22245FY0);Lenovo;18.5;MONITOR
ODL 24951HC-TAB;ok.;21.0;TELEVISION
VM-FHD27MPA;eneo;25.7;MONITOR
QE50QN93BAT;Samsung;65.0;TELEVISION
MD 33032;MEDION;77.0;TELEVISION
VM-HD19MPA;eneo;15.4;MONITOR
43PUS7956/62;PHILIPS;53.0;TELEVISION
ST7502S;BenQ;177.0;SIGNAGE
43LED 316 B;Sehmax;42.0;TELEVISION
QE55Q77BAT;Samsung;93.0;TELEVISION
K32DLC16H;TD SYSTEMS;31.0;TELEVISION
58A7HQ;Hisense;91.0;TELEVISION
55A7HQ;Hisense;83.0;TELEVISION
50A7HQTUK;Hisense;71.0;TELEVISION
43A7HQTUK;Hisense;54.0;TELEVISION
QE55QN85BAT;Samsung;77.0;TELEVISION
55QNED819QA;LG Electronics Inc.;81.9;TELEVISION
75UQ90003LA;LG Electronics Inc.;135.0;TELEVISION
75UQ91003LA;LG Electronics Inc.;135.0;TELEVISION
GQ65QN85BAT;Samsung;101.0;TELEVISION
QE55QN95BAT;Samsung;93.0;TELEVISION
PFF-726WHITE;Denver;6.6;OTHER
55UQ91003LA;LG Electronics Inc.;81.9;TELEVISION
55UQ91006LA;LG Electronics Inc.;81.9;TELEVISION
43UQ90009LA;LG Electronics Inc.;53.0;TELEVISION
43UQ91003LA;LG Electronics Inc.;53.0;TELEVISION
43UQ91009LA;LG Electronics Inc.;53.0;TELEVISION
GQ65QN900BT;Samsung;289.0;TELEVISION
GQ75QN900BT;Samsung;303.0;TELEVISION
GQ85QN900BT;Samsung;326.0;TELEVISION
GQ85QN95BAT;Samsung;155.0;TELEVISION
75NANO826QB;LG Electronics Inc.;106.0;TELEVISION
GQ65Q80BAT;Samsung;143.0;TELEVISION
QE65Q80BAT;Samsung;143.0;TELEVISION
QE85QN90BAT;Samsung;146.0;TELEVISION
C624ECNK;ASUS;17.6;MONITOR
65A71HQ;Hisense;111.0;TELEVISION
50A79HQ;Hisense;71.0;TELEVISION
43A79HQ;Hisense;54.0;TELEVISION
50UQ75006LF;LG Electronics Inc.;69.9;TELEVISION
DHI-LM22-A200;Dahua;15.0;MONITOR
GU65BU8579U;Samsung;124.0;TELEVISION
DHI-LM19-A200; Dahua;13.0;MONITOR
UE50BU8502K;Samsung;78.0;TELEVISION
86QNED919QA;LG Electronics Inc.;167.0;TELEVISION
GU55BU8579U;Samsung;93.0;TELEVISION
GU75BU8579U;Samsung;156.0;TELEVISION
50QNED813QA;LG Electronics Inc.;70.7;TELEVISION
50QNED823QB;LG Electronics Inc.;70.7;TELEVISION
75UQ81009LB;LG Electronics Inc.;135.0;TELEVISION
CL32LED22B;CLAYTON;32.0;TELEVISION
MD 32246;MEDION;85.0;TELEVISION
MD 32244;MEDION;65.0;TELEVISION
MD 20018;MEDION;19.0;TELEVISION
MD 30071;Medion;41.0;TELEVISION
55U81HQ;Hisense;82.0;TELEVISION
55U82HQ;Hisense;82.0;TELEVISION
55U87HQ;Hisense;82.0;TELEVISION
55U89HQ;Hisense;82.0;TELEVISION
55U82HQTUK;Hisense;82.0;TELEVISION
ATV024;ASPES;19.8;TELEVISION
UE50BU8572K;Samsung;78.0;TELEVISION
UE65BU8500K;Samsung;124.0;TELEVISION
UE65BU8505K;Samsung;124.0;TELEVISION
UE65BU8572K;Samsung;124.0;TELEVISION
HG65AU800EU;Samsung;136.0;TELEVISION
VP19TS;VISION PLUS;17.0;TELEVISION
TL43UHDBL22SW;TUCSON;54.0;TELEVISION
QE75QN700BT;Samsung;247.0;TELEVISION
QH55B;Samsung;115.0;SIGNAGE
MD 32355;MEDION;113.0;TELEVISION
MD 32356;MEDION;147.0;TELEVISION
HY-TQL32R4-014;HYUNDAI;28.0;TELEVISION
VS19012(VX2418C);ViewSonic;17.0;MONITOR
ODL 65952UC-TAB;ok.;125.0;TELEVISION
43 VOE 72 DMR000;GRUNDIG;66.0;TELEVISION
65 VOE 72 DMV000;GRUNDIG;100.0;TELEVISION
25FHD990SC;Linsar;22.0;TELEVISION
ED240Q S;acer;17.0;MONITOR
22P610F;CHiQ;19.0;MONITOR
LED50UD18H;SWEDX;78.0;MONITOR
34WQ650;LG Electronics;30.8;MONITOR
DS-D6055UH;HIKVISION;174.7;SIGNAGE
DS-6065UH;HIKVISION;195.6;SIGNAGE
50 ST6600;NABO;71.0;TELEVISION
85A6EG;Hisense;167.0;TELEVISION
